code,name,roe,net_profit_ratio,gross_profit_rate,eps,bips,arturnover,inventory_turnover,currentasset_turnover,mbrg,nprg,nav,targ,epsg,seg,currentratio,quickratio,cashratio,icratio,sheqratio,adratio,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio,beat
600200,江苏吴中,4.88,17.43,23.9868,0.1332,0.7645,0.837,2.7686,0.1998,26.6865,1153.9598,-17.8907,-9.5298,1109.0909,-17.8796,1.6658,1.5792,83.7719,708.1676,50.3631,49.6369,0.9666,0.1362,5.5436,0.2744,31.625,1
600201,生物股份,4.06,40.68,67.6578,0.1876,0.4612,0.7316,0.473,0.1599,41.8513,36.9492,9.3716,10.5421,46.1538,8.6267,5.1639,4.6029,227.4119,-4191.8182,84.7377,15.2623,0.0521,0.0042,0.1246,0.0274,4.2228,1
600202,哈空调,0.79,3.36,15.1204,0.0147,0.4397,0.2406,0.3812,0.097,7.1538,7.1806,5.3415,13.9071,8.0292,5.3103,1.2237,0.9744,18.0588,397.9387,30.5857,69.4143,-0.7954,-0.0577,-23.9357,-0.0831,-9.2127,0
600206,有研新材,1.84,1.68,4.4111,0.0726,4.3048,7.5003,3.2216,1.2048,63.8735,942.5768,7.2795,18.1881,775.0,7.8579,3.4616,2.021,20.8562,1098.8305,75.3562,24.6438,-0.2144,-0.1652,-12.3879,-0.6702,-83.4532,1
600207,安彩高科,8.13,16.39,22.4356,0.175,1.0675,3.5745,4.6677,0.7884,63.5774,603.7892,14.8266,14.958,644.6809,15.0242,2.1195,1.8382,45.2911,6525.642,70.2878,29.7122,-0.0071,-0.0024,-0.0426,-0.0082,-1.0727,1
600208,新湖中宝,1.32,23.82,11.0146,0.0591,0.2484,27.5538,0.0362,0.0273,39.3145,286.0974,10.391,-8.0196,275.0,10.5314,1.2406,0.3837,22.5183,188.3718,29.204,70.796,1.1175,0.0179,4.8209,0.0253,3.8763,0
600210,紫江企业,2.27,5.49,20.3577,0.0816,1.4861,1.4464,0.9299,0.3762,21.5918,204.1458,10.5081,5.3789,192.8571,10.5125,1.4601,0.9874,41.7839,692.4841,49.2172,50.7828,-0.0165,-0.0032,-0.2812,-0.0062,-0.8572,1
600211,西藏药业,5.72,31.79,89.8145,0.6339,1.9936,1.3813,0.7302,0.3503,66.5526,22.6287,6.0692,11.8449,-13.6986,5.971,3.2487,3.1007,155.7189,27752.2889,85.4231,14.5769,0.4457,0.0682,1.3895,0.4682,48.6573,1
600212,江泉实业,0.81,3.36,18.035,0.004,0.1206,2.0591,13.2338,0.4623,-27.6219,-70.132,6.3351,5.9528,-69.8529,6.3351,3.624,3.5149,156.4535,-28189.9401,84.9522,15.0478,-0.1456,-0.03,-4.327,-0.1993,-24.9656,0
600215,派斯林,1.47,60.91,36.1635,0.0799,0.1311,138.6282,0.0345,0.0229,400.5731,406.6931,-2.3695,-1.5286,436.0759,-2.3695,9.4128,5.4881,193.0724,-864.9076,89.7322,10.2678,0.5235,0.0114,0.8595,0.1108,11.2568,1
